[ 2026-08-09 12:45:28,865 ] 18 root - INFO - Initiate the data ingestion component
[ 2026-08-09 12:45:29,273 ] 96 pymongo.serverSelection - INFO - {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 6a782911c4c0548be905b099, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-wzlnizu-shard-00-00.99pj2hc.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wzlnizu-shard-00-01.99pj2hc.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-wzlnizu-shard-00-02.99pj2hc.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "6a782911c4c0548be905b099"}, "remainingTimeMS": 30}
[ 2026-08-09 12:45:31,226 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-08-09 12:45:31,226 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-08-09 12:45:31,228 ] 75 root - INFO - Exporting train and test file path.
[ 2026-08-09 12:45:31,408 ] 84 root - INFO - Exported train and test file path.
[ 2026-08-09 12:45:31,409 ] 20 root - INFO - Data Ingestion Completed
[ 2026-08-09 12:45:31,433 ] 24 root - INFO - initiate the data validation
[ 2026-08-09 12:45:31,692 ] 32 root - INFO - Required number of columns:2
[ 2026-08-09 12:45:31,692 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-09 12:45:31,692 ] 32 root - INFO - Required number of columns:2
[ 2026-08-09 12:45:31,692 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-09 12:45:32,109 ] 26 root - INFO - Data validation completed
[ 2026-08-09 12:45:32,110 ] 28 root - INFO - data transformation started
[ 2026-08-09 12:45:32,110 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-08-09 12:45:32,111 ] 65 root - INFO - Starting data transformation
[ 2026-08-09 12:45:32,173 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-08-09 12:45:32,173 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-08-09 12:45:32,197 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-09 12:45:32,205 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-09 12:45:32,205 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-09 12:45:32,211 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-09 12:45:32,215 ] 33 root - INFO - data transformation completed
